Sequence No.,V,D,air density,humidity,I,S_a,S_b,y (% relative to rated power)
38,5.220043,41.47107,1.289269683,80.696235,0.088850188,0.076329676,0.063697172,5.83
39,4.576058,63.51952,1.290001958,81.088605,0.08899236,0.111381396,0.013205921,3.113333333
40,4.156075,64.94245,1.291336116,82.098294,0.123695049,0.235387008,0.053751162,2.926666667
41,5.604194,45.86141,1.291109163,82.17308,0.171849351,0.218528255,0.076654727,15.07
42,5.210211,34.21024,1.289398245,74.242157,0.080858299,0.068130718,0.059612443,5.566666667
43,5.506677,36.3928,1.289196216,74.713477,0.096678995,0.021814772,0.062938923,3.973333333
44,4.987524,39.7383,1.288973086,74.521458,0.173391747,0.084347785,0.057590484,7.473333333
45,5.445985,40.64463,1.28921455,74.222717,0.132638118,0.078357065,0.064228785,9.716666667
46,4.803733,43.52151,1.289288528,74.632941,0.092130891,0.119576053,0.035418322,10.31
47,5.482955,39.9138,1.289514199,75.224271,0.086290933,0.058414825,0.007801476,14.84666667
48,7.237692,46.86774,1.29060194,76.112365,0.111450529,0.088365959,0.034586216,21.17666667
49,7.573534,50.74437,1.291350674,77.144072,0.098700343,0.023581514,0.016039128,19.86333333
50,8.048178,56.16331,1.293086705,79.266006,0.079411464,0.010720489,0.037208725,42.62
51,9.568681,57.55235,1.2974593,83.9324,0.078729022,0.034815351,0.018332269,59.1
52,9.999779,59.23293,1.298918748,85.103759,0.061207673,0.052730374,0.031206068,63.20666667
53,10.10325,62.16199,1.299546769,83.960567,0.085600416,0.06441648,0.052912948,73.44333333
54,9.518158,69.65,1.300386133,82.819755,0.086535966,0.03254939,0.001122612,63.11333333
55,9.7684,70.54916,1.301366021,81.979274,0.089464877,0.064328979,0.031182578,53.17
56,9.418155,68.04404,1.301949111,82.342087,0.089864703,0.050403951,0.031959993,62.61333333
57,10.08078,66.10818,1.302676247,82.794961,0.094623234,0.020734561,0.005656532,65.21666667
58,10.04082,64.51555,1.303007576,83.452746,0.077192978,0.045085974,0.03693263,65.88
59,10.28311,62.44935,1.304355312,83.85702,0.072002167,0.00100861,0.020214796,62.15
60,10.03927,64.21419,1.304171551,83.909982,0.092427368,0.048805925,0.036888295,57.13333333
61,10.12025,64.62398,1.304351243,83.35416,0.092744003,0.048656834,0.013873601,59.01
62,9.585474,64.19017,1.304013314,83.092906,0.099063051,0.026536229,0.014904279,63.69333333
63,9.442919,65.00738,1.304063223,83.064145,0.092531292,0.047171396,0.016867786,63.78
64,9.960548,64.54429,1.30417524,81.625785,0.07217128,0.041496293,0.022187746,61.64333333
65,8.969687,62.7161,1.303878447,81.308595,0.077372198,0.017361079,0.024428789,54.80333333
66,9.254268,63.9116,1.303921444,80.39809,0.094695453,0.040394974,0.002526121,52.45
67,9.066964,64.03037,1.303828859,80.139019,0.080460725,0.047315541,0.032984659,55.97
68,9.124143,64.61225,1.305011615,79.443944,0.08095842,0.004247096,0.022114959,47.57666667
69,8.704192,64.16663,1.303861401,74.962628,0.101612062,0.073819369,0.025290972,47.21666667
70,8.4578,67.8535,1.30393787,72.35608,0.083613587,0.012259274,0.019475777,43.28
71,8.003349,67.32676,1.30363123,70.761604,0.098061749,0.000658896,0.020411139,32.23333333
72,7.658349,66.9734,1.304016058,70.786599,0.089677436,0.077061474,0.006614016,28.88666667
73,6.78584,69.12636,1.304151605,73.37311,0.100408778,0.027359372,0.010562266,24.43333333
74,6.543121,72.45377,1.304167824,73.228104,0.100029222,0.00621192,0.003174608,30.35
75,6.647311,62.25505,1.306288448,74.306824,0.070192834,0.003764078,0.03131708,20.41666667
76,6.958452,65.17107,1.30761603,73.100752,0.068726579,0.043418025,0.005416183,26.09666667
77,6.954844,64.90398,1.307037866,72.763726,0.066609071,0.020884623,0.009902537,26.54
78,7.270348,61.03998,1.307243476,73.837091,0.058488466,0.034596139,0.018856254,27.33333333
79,7.45345,60.76842,1.307754726,73.96841,0.066656327,0.057604401,0.010078337,26.74666667
80,7.473852,63.7577,1.307632743,73.530614,0.071198667,0.003375395,0.008998018,25.21
81,7.725071,62.67545,1.30771529,70.896891,0.086084206,0.02185264,0.030534421,25.33
82,6.63897,61.5276,1.30718151,70.471394,0.10386566,0.04432972,0.016576264,23.12666667
83,7.107247,60.07807,1.306898769,70.610053,0.088671366,0.083217681,0.033735682,25.65333333
84,7.185245,64.22964,1.306771088,71.933756,0.093599105,0.081431326,0.048242333,25.32
85,7.047421,67.36647,1.307059904,70.723519,0.10364942,0.154655707,0.019356615,24.95333333
86,6.723015,69.03384,1.306677656,69.611074,0.10115356,0.087864607,0.013077802,23.3
87,6.289559,68.21427,1.306651044,68.454791,0.096737164,0.078173625,0.011145221,19.37
88,6.004112,67.12514,1.306726923,67.803154,0.114153184,0.071370803,0.024946683,18.1
89,6.226189,67.54986,1.306657179,66.125365,0.113373028,0.09909578,0.008855009,18.84666667
90,6.110194,66.96341,1.307066228,64.82963,0.108044278,0.035188951,0.032193692,19.09
91,5.901991,68.57297,1.306539373,61.973538,0.097464754,0.080824852,0.011669391,14.54666667
92,5.894806,70.89783,1.305858746,56.749932,0.09510084,0.173252785,0.008329133,12.75333333
93,5.927173,82.74499,1.306031268,57.6287,0.062748565,0.036036375,0.003397139,9.886666667
94,5.666955,86.01217,1.306203725,57.947277,0.080018105,0.080064285,0.016015836,7.153333333
95,4.302608,324.6018,1.295186557,49.860042,0.083780767,0.009887265,0.036695723,8.03
96,4.119073,1.310154,1.2945755,52.178757,0.177338858,0.059180922,0.095761508,2.116666667
97,4.307612,328.706,1.29449133,51.947262,0.115378521,0.006366396,0.022269189,3.806666667
98,4.468195,323.8857,1.294435664,51.732628,0.236269679,0.046337159,0.057408979,5.52
99,5.389158,344.9831,1.293893197,56.115751,0.112299621,0.023173601,0.037510156,12.68666667
100,4.270979,309.4403,1.293160619,56.146103,0.097197551,0.022149826,0.031399124,7.123333333
101,5.375589,311.6033,1.293156904,55.517477,0.137339592,0.066887689,0.081860835,4.946666667
102,6.029406,302.3169,1.292324295,55.932262,0.111908652,0.025295268,0.040541438,11.68666667
103,4.828898,298.4829,1.292361693,55.31891,0.086388696,0.11080886,0.053967593,5.58
104,5.354626,300.0084,1.291291575,58.171432,0.108245002,0.06436433,0.053910432,4.43
105,5.986084,322.3108,1.291822775,61.97215,0.100760714,0.026146065,0.046770797,9.94
106,6.337612,301.4445,1.29116333,62.140761,0.065188876,0.00744686,0.058831738,15.4
107,5.827747,299.0439,1.291360415,62.767999,0.164807858,0.09805069,0.065498872,8.683333333
108,6.086537,300.3286,1.291680459,66.013288,0.110989451,0.083850334,0.070495165,9.026666667
109,6.030352,298.4884,1.291537119,65.176575,0.082942588,0.056080858,0.04265533,9.086666667
110,6.001369,304.152,1.290702417,64.788172,0.104580038,0.116993309,0.056376709,15.5
111,5.23212,313.025,1.290318573,67.656165,0.125854835,0.111475535,0.058784731,11.85
112,6.982222,312.4629,1.290000872,66.504841,0.085339595,0.033054115,0.070704729,22.18333333
113,7.30071,304.9303,1.288689345,65.017484,0.078591137,0.03369329,0.030904915,26.86333333
114,6.32345,296.0271,1.290853461,70.42577,0.08703929,0.042128554,0.037480725,14.68
115,5.366431,298.2926,1.290714556,70.495395,0.088797899,0.065265838,0.058580373,10.19333333
116,5.009706,297.456,1.289975204,71.640173,0.088925658,0.160315817,0.056352859,9.73
117,7.704574,300.5985,1.29010097,73.17633,0.12088671,6.32E-05,0.060029133,17.19666667
118,8.904728,310.1328,1.288948782,73.259248,0.125980378,0.080622069,0.072753724,46.04333333
119,10.1142,310.0641,1.288435634,71.897456,0.044320648,0.014203238,0.034788143,59.24666667
120,9.250659,304.7385,1.28860084,72.293199,0.055028231,0.014271936,0.048019899,41.12666667
121,7.905447,301.3675,1.289084254,74.554983,0.082180565,0.008548009,0.04435788,36.08666667
122,9.244997,296.1654,1.290095423,77.1893,0.085030487,0.049536954,0.039402878,49.13333333
123,7.839671,295.4782,1.29212043,79.324722,0.078048237,0.082458407,0.086369148,22.78
124,8.697808,294.7512,1.290172716,79.02757,0.102616924,0.06807732,0.080181365,32.39333333
125,8.977546,307.0114,1.288499604,77.230362,0.073017147,0.047935085,0.063980589,54.07
126,8.388174,306.3315,1.288408354,75.580342,0.038881597,0.009784778,0.042635293,37.85666667
127,8.367548,301.8331,1.287838839,75.11537,0.129918346,0.013516343,0.053235856,41.09
128,9.916023,295.2902,1.290240776,78.383471,0.06939042,0.015915585,0.056352142,56.81
129,8.272886,295.9611,1.290482748,81.204849,0.057265832,0.05430611,0.036579144,37.49
130,9.170335,292.2324,1.29024189,83.342652,0.13557629,0.09785917,0.05677964,49.93
131,8.735548,298.3802,1.289423857,83.63465,0.064458589,0.116520831,0.080747979,38.11
132,8.509189,310.8028,1.288046347,80.962046,0.1212159,0.034385512,0.080295678,41.45333333
133,8.568919,312.7061,1.286440934,72.333865,0.077312588,0.033132274,0.057022506,39.72333333
134,9.794239,308.3933,1.286510395,72.113081,0.062079718,0.017395487,0.052828069,55.48333333
135,9.204563,292.9538,1.289571579,80.683142,0.067744455,0.020970763,0.062202281,40.65
136,8.50943,298.3538,1.28878688,75.930858,0.061882182,0.161229252,0.081805242,37.10333333
137,8.834237,302.2422,1.28716609,74.621238,0.080556612,0.071641545,0.072991629,37.92666667
138,8.482003,299.8702,1.286228045,73.988842,0.062835818,0.032051935,0.029463387,36.81
139,8.860685,313.455,1.285817345,70.239899,0.087381382,0.064492078,0.082060836,40.94
140,9.704228,308.3039,1.285718487,65.836937,0.062437671,0.040219864,0.076021474,37.91
141,10.08475,306.4033,1.285855264,67.322115,0.050177535,0.026873441,0.062151217,53.08333333
142,9.349524,309.0413,1.286505258,66.211258,0.069464659,0.030882121,0.059030214,40.38
143,8.469444,302.5095,1.286376061,64.268647,0.067468408,0.002626432,0.048454529,32.27666667
144,8.086961,302.7892,1.286360125,63.737618,0.062295379,0.040512399,0.036889335,34.27666667
145,7.261927,300.6843,1.286543458,62.913005,0.106065167,0.030619992,0.046928433,24.97333333
146,7.236345,303.6514,1.286056581,64.337679,0.089062614,0.031715787,0.062380242,24.94333333
147,8.928258,313.7552,1.285826146,66.733558,0.0804146,0.030852123,0.048259736,48.46
148,8.141429,318.2418,1.2862552,68.832482,0.058736556,0.049712824,0.081971558,24.36
149,9.28726,308.9639,1.286131336,69.790795,0.123831248,0.038950927,0.058731988,39.12
150,9.348,300.0556,1.287026556,71.900828,0.070806451,0.021288768,0.073884585,46.91666667
151,10.05341,304.3494,1.287250223,71.145049,0.066609698,0.01469935,0.067830859,57.50666667
152,9.387392,309.3094,1.286744347,68.879298,0.059687259,0.022078159,0.058374632,51.55
153,9.00462,305.8935,1.286024839,67.160246,0.066086531,0.020060777,0.071067813,46.24
154,9.364793,304.8889,1.28594824,66.810923,0.063212396,0.029964213,0.058094441,43.92333333
155,9.332009,298.5615,1.286348047,69.667807,0.102921879,0.022615611,0.051482502,50.73333333
156,10.40347,285.8812,1.287771484,68.189773,0.055006531,0.030136336,0.06108656,67.81666667
157,10.65462,285.9668,1.287882577,67.528219,0.075198261,0.018404987,0.06637515,68.6
158,10.30181,286.4524,1.288198415,66.458821,0.05617574,0.042516018,0.037287831,72.15666667
159,10.17412,290.2271,1.288026118,66.485997,0.04397483,0.004086153,0.038956201,58.58333333
160,11.29811,292.31,1.289890225,68.111617,0.047002826,0.000695561,0.062230214,80.27333333
161,10.62012,289.9922,1.290154773,66.494725,0.056904376,0.000352307,0.049546263,68.61666667
162,10.48931,296.4192,1.290195,65.395175,0.09302936,0.030930579,0.064257368,71.99333333
163,10.73665,283.6444,1.290844812,67.271531,0.103865079,0.024000959,0.059551446,69.85
164,10.53946,278.9194,1.290263459,67.841242,0.053684458,0.033846802,0.039609704,72.31666667
165,11.05347,275.0281,1.29124824,68.652366,0.063408016,0.007469255,0.0472106,73.01333333
166,9.423961,276.923,1.290707743,69.714822,0.078586679,0.012536916,0.05272548,58.87
167,9.703281,277.6819,1.289929073,69.353594,0.070098825,0.028517309,0.055680019,56.91666667
168,9.581721,280.9479,1.289370054,69.460315,0.060427161,0.018797477,0.052535287,52.45666667
169,8.348253,277.0903,1.288535498,68.79043,0.068515892,0.012851812,0.0417298,35.71333333
170,9.880673,276.4288,1.287685345,71.9893,0.078984326,0.009694146,0.049568473,60.5
171,9.506145,281.8756,1.287454583,73.368151,0.055100643,0.014301841,0.05663022,54.53333333
172,9.62376,282.4102,1.28640024,72.788324,0.062819937,0.008085854,0.044592317,55.34666667
173,9.754911,282.0088,1.286415195,70.59438,0.062128358,0.026744622,0.054157563,57.66666667
174,10.76536,283.1383,1.286124759,72.462406,0.044845003,0.000568191,0.062559231,63.04
175,10.82833,286.3001,1.286168565,73.775399,0.049554908,0.013313252,0.04248093,72.17666667
176,10.84716,284.3297,1.286210886,74.712485,0.046874131,0.031131005,0.062490391,79.00666667
177,10.8016,279.9634,1.285370868,76.198851,0.062930186,0.000481994,0.035203563,75.97666667
178,11.80029,279.8713,1.285975118,79.095411,0.055361148,0.007697758,0.055285243,87.6
179,11.48432,277.911,1.286203394,79.185866,0.04532008,0.017272426,0.05324753,79.95333333
180,11.41816,278.5507,1.286021748,79.17317,0.044096063,0.012862016,0.043737542,84.69
181,11.50227,274.9666,1.285839753,80.366745,0.044258368,0.048131803,0.052189986,78.12333333
182,11.51813,275.7149,1.286469601,80.578802,0.051807715,0.009239719,0.039702253,82.37333333
183,11.28962,274.515,1.285270049,81.68926,0.060462407,0.030222365,0.051050957,83.1
184,11.04573,274.8326,1.284936006,82.353989,0.067600937,0.025739166,0.061789297,83.19
185,11.12285,276.1436,1.284799943,83.442036,0.048353821,0.045530734,0.060114688,82.60666667
186,11.64609,273.3087,1.285414934,84.762566,0.039518714,0.01989669,0.043428482,77.73
187,10.48831,272.9021,1.284958488,85.556233,0.074954287,0.047874341,0.051634632,73.26333333
188,10.98995,278.3026,1.283869376,84.234114,0.068957366,0.020793087,0.045584241,76.53333333
189,10.8426,281.5407,1.283651378,83.453738,0.066428181,0.011475763,0.057935744,77.88333333
190,10.93643,275.4458,1.28315384,84.560034,0.060636762,0.029700423,0.061109395,77.62333333
191,11.59018,277.6946,1.282608448,83.288498,0.052691917,0.019180326,0.049262257,86.87
192,11.38679,280.5388,1.281925563,82.949488,0.049667571,0.044878101,0.074815771,85.25333333
193,10.99021,283.9887,1.281920449,84.32338,0.058684156,0.012439448,0.060609701,82.07
194,11.00198,283.3228,1.281738971,85.091857,0.068594417,0.04193145,0.066271491,72.97333333
195,11.57328,292.5006,1.281592254,82.436906,0.050512707,0.016778963,0.071266343,73.10333333
196,10.92592,286.0859,1.281663494,82.048502,0.05953678,0.050573234,0.061924389,74
197,11.54428,287.0257,1.279626985,80.677588,0.06183801,0.017784869,0.077362947,71.8
198,11.15621,294.3419,1.279873169,82.500384,0.050953612,0.040893689,0.063398014,75.44333333
199,11.11964,291.7275,1.280830158,83.572561,0.061206865,0.036835113,0.090157306,76.72666667
200,11.23222,290.281,1.281672391,84.391817,0.047632659,0.044540987,0.079280133,75.63
201,10.82509,287.6015,1.280979923,84.835169,0.053273128,0.084608315,0.081321955,77.67
202,10.92137,286.6762,1.280664995,85.140058,0.06123913,0.021270924,0.044452387,72.42
203,10.53401,287.0236,1.280036935,84.574512,0.058118058,0.072735728,0.060207632,73.06
204,11.17711,293.7902,1.279538653,82.428774,0.062013043,0.071096627,0.067702063,82.48
205,11.72531,299.1544,1.278502251,78.256714,0.075760172,0.026806779,0.073179552,85.69
206,11.8908,294.4248,1.278780974,78.066082,0.053166053,0.006743433,0.071440042,80.69666667
207,11.659,292.4611,1.278906104,78.472735,0.053285119,0.037060311,0.076337455,76.18333333
208,11.36563,294.8518,1.278399538,78.360262,0.053137802,0.020000634,0.06751363,71.85333333
209,11.3811,293.983,1.278409104,77.456698,0.051895889,0.033446217,0.063892274,67.58666667
210,11.7819,294.5237,1.278793314,77.115507,0.061022628,0.037793716,0.068027055,75.47666667
211,11.6405,293.7248,1.278321034,77.052623,0.065896774,0.045257706,0.06822994,79.15333333
212,12.18116,290.5641,1.277590956,76.656685,0.04226242,0.003927745,0.07345328,72.84333333
213,11.6043,295.1645,1.27742916,77.001841,0.065604759,0.025744349,0.068913612,76.46666667
214,11.57777,291.7055,1.277551531,77.406312,0.063436353,0.037190352,0.079182437,82.56
215,11.41579,291.161,1.277438401,78.291627,0.069024903,0.036160622,0.088150495,83.55333333
216,11.64393,292.049,1.277729094,79.65223,0.049409237,0.034028287,0.072490663,79.61
217,11.67966,292.0513,1.277737727,79.83532,0.061642325,0.011270822,0.080744932,79.97333333
218,11.49821,292.3644,1.277527416,80.635931,0.07249591,0.018893025,0.084312731,81.36333333
219,11.4952,288.4725,1.277481693,81.6724,0.055518616,0.031247921,0.060878832,83.31333333
220,11.67775,285.4354,1.277985815,82.43076,0.050024765,0.015882892,0.0572604,82.28333333
221,11.65434,286.8204,1.277838668,82.646184,0.047312538,0.031006834,0.070061641,80.23333333
222,10.84364,286.1245,1.277048358,83.429736,0.052677588,0.05233064,0.055305179,80.1
223,11.65132,287.0757,1.277737608,82.530338,0.049087674,0.040853252,0.081559685,81.73666667
224,11.25896,284.6253,1.277163124,83.13437,0.062188204,0.058579528,0.073109484,79.58
225,11.40596,284.7456,1.276625579,82.929848,0.056393158,0.036980455,0.063215384,78.57
226,11.73966,286.3344,1.27668966,82.84138,0.058134137,0.028565322,0.073096863,83.87333333
227,11.74148,285.3494,1.276415954,82.884623,0.054842754,0.020211586,0.04766852,84.06
228,11.95037,286.8391,1.276171971,83.134764,0.048602428,0.043259329,0.063529143,88.32666667
229,11.86235,284.8559,1.276291234,83.033991,0.054694947,0.035240856,0.053695989,79.22333333
230,12.00493,285.517,1.276132448,83.614614,0.041049461,0.001027171,0.055317205,85.51666667
231,11.87356,283.8201,1.276196599,83.637229,0.043895765,0.028764848,0.068494264,84.13666667
232,11.79522,286.6247,1.276348982,83.410494,0.05135844,0.024216375,0.052360125,83.95
233,11.97079,286.4585,1.275981268,82.852092,0.054176274,0.016145327,0.061778071,87.68
234,11.34437,286.6716,1.27532288,83.091322,0.063935432,0.021675044,0.071550555,85.53333333
235,12.00837,286.315,1.275599126,83.673728,0.045043399,0.045234154,0.064538417,82.17666667
236,11.81539,286.4268,1.276041027,84.097241,0.056206905,0.039135473,0.068612945,87.49666667
237,11.97231,285.9294,1.27615833,85.150968,0.052139704,0.045043964,0.059409529,83.92333333
238,11.56182,286.0489,1.276215902,85.868264,0.044552865,0.036740334,0.055591378,84.00333333
239,11.36583,287.0704,1.276041677,86.243376,0.05932803,0.034660197,0.065987144,87.46333333
240,11.52001,285.1902,1.275735593,86.40981,0.065268042,0.05642109,0.070711128,77.69333333
241,11.53951,288.7391,1.275074877,85.44356,0.072435519,0.039843113,0.056015869,71.44333333
242,11.39709,287.7163,1.27499426,85.451891,0.059790025,0.029434697,0.067012139,78.71666667
243,12.06434,290.7391,1.27541588,85.757377,0.046385099,0.026651079,0.048147859,81.17333333
244,11.31473,293.5498,1.275651008,86.273332,0.059026879,0.07602774,0.061309807,79.88333333
245,11.72042,297.8923,1.27694596,84.907572,0.069237007,0.051410132,0.054367222,76.49333333
246,11.2668,296.4769,1.276114243,85.558414,0.038695717,0.037588103,0.068575848,75.28333333
247,10.95646,296.633,1.276110621,86.21025,0.070483039,0.05466076,0.063993018,73.25333333
248,11.76661,300.439,1.276426811,85.645101,0.062925456,0.027903204,0.061091398,78.84666667
249,11.40097,300.9924,1.276520549,85.610189,0.071480462,0.037824652,0.047785203,76.03
250,12.08813,297.5967,1.276358268,85.033932,0.074566504,0.062336455,0.073187887,82.66
251,12.26818,296.8645,1.276429118,84.6735,0.057426929,0.012708063,0.064728433,91.58333333
252,12.5591,297.9811,1.277454616,84.953792,0.043015144,0.016747655,0.091047582,87.65
253,12.18956,290.7483,1.277814862,84.935741,0.049951237,0.02226552,0.062728304,84.21
254,12.42213,292.3424,1.277796815,85.451496,0.051439173,0.011554659,0.065606264,92.06
255,11.98373,295.7711,1.277752397,86.919413,0.081436823,0.032507564,0.065207786,95.76666667
256,12.7926,293.7212,1.278119076,87.508564,0.041359044,0.004049109,0.068939428,87.96
257,12.42971,288.4463,1.277729698,87.751168,0.054138536,0.028287672,0.046455243,87.22
258,12.57634,289.0201,1.277671691,88.064784,0.04479133,0.017344415,0.057099682,98.17333333
259,12.96059,289.1009,1.2782572,87.772193,0.040116553,0.029714807,0.077824379,96.31333333
260,12.85638,288.8951,1.278041997,87.799965,0.046701031,0.031297311,0.064761361,96.02333333
261,12.78137,288.3221,1.277696974,88.761451,0.065499935,0.031392632,0.072070741,98.21
262,12.93889,287.1642,1.277970474,89.038177,0.067660487,0.03259447,0.041504403,99.45
263,13.19194,285.8228,1.278460652,90.296018,0.052304983,0.026664166,0.073943127,94.15333333
264,12.89796,286.7769,1.279491834,92.819253,0.063721309,0.069757541,0.050443209,98.98
265,12.83111,286.1145,1.279284733,94.965188,0.06099862,0.012902001,0.070098828,94.98
266,13.3317,283.7111,1.280525868,94.756904,0.050134386,0.018060246,0.052306374,99.01666667
267,12.99179,282.0133,1.280554795,95.034221,0.068911767,0.068155557,0.057050986,98.76
268,13.48831,286.6845,1.281014753,95.668203,0.069328122,0.018373639,0.061076811,99.52
269,13.74718,282.9179,1.280372452,95.729698,0.032890877,0.005004018,0.065422136,99.27333333
270,13.71095,283.5854,1.280028305,95.899104,0.045208465,0.013473977,0.057199637,99.08666667
271,13.66875,283.7514,1.279019064,95.794761,0.051982866,0.038871306,0.045122379,99.91666667
272,13.68554,282.9893,1.278653317,95.535693,0.040130729,0.036087202,0.059615359,99.95333333
273,12.84957,284.6761,1.278018456,95.984799,0.053011338,0.029102856,0.060340672,98.87
274,12.87794,285.7147,1.278068543,96.321825,0.067375481,0.074850232,0.064445755,99.00666667
275,13.30982,284.6151,1.278250259,96.185347,0.066247034,0.045215657,0.062001139,97.78333333
276,12.82641,285.2459,1.27729387,96.219664,0.052177624,0.042150206,0.049417609,98.44333333
277,13.07123,284.7369,1.27769204,96.122266,0.065596574,0.030849493,0.063203047,99.52
278,13.27435,283.2939,1.277663687,96.089932,0.05802083,0.039644809,0.058040321,96.78666667
279,12.78727,285.3877,1.277369908,96.21649,0.052806103,0.007502659,0.047654092,98.04333333
280,12.28034,285.609,1.276667803,96.20558,0.057851932,0.072946981,0.053844097,96.93666667
281,13.10576,285.8459,1.276123249,95.976862,0.04795654,0.039825437,0.070161687,94.92
282,12.71798,285.9985,1.275871551,95.975076,0.061896292,0.060995451,0.055939227,97.68333333
283,13.01243,286.0848,1.275992738,95.843759,0.057438641,0.038245102,0.057350485,99.01333333
284,12.78551,286.07,1.275607742,95.806862,0.050952023,0.050628509,0.053245467,96.16333333
285,11.74457,284.3745,1.274915557,95.917152,0.069333164,0.052690016,0.067683684,90.50333333
286,12.45616,284.6193,1.274886625,95.772941,0.054319325,0.051723691,0.067096678,94.58666667
287,12.41294,286.9411,1.274748339,95.686649,0.056798494,0.024271191,0.045303488,84.91333333
288,11.94243,287.9408,1.274391186,95.776315,0.052416443,0.063515294,0.069059287,88.82
289,11.98755,291.3549,1.274306304,96.386291,0.044505166,0.043296279,0.06861368,82.08
290,11.89343,300.3209,1.274162854,96.467026,0.050255948,0.045519894,0.068087653,66.16666667
291,10.32653,306.9977,1.273691554,96.337692,0.088173578,0.04273807,0.064593008,50.28666667
292,8.664159,80.43936,1.284357894,95.981624,0.071220404,0.060120458,0.008873554,38.18
293,9.431884,82.31747,1.285081442,96.186141,0.064990854,0.054117182,0.010347364,36.06666667
294,9.253097,84.45395,1.285528024,96.257157,0.089076198,0.014780285,0.025179558,35.32333333
295,9.281374,83.76974,1.286056921,96.365951,0.074922657,0.05887182,0.02916737,35.93
296,9.613687,82.18244,1.286741283,96.558675,0.07763394,0.003823256,0.012528641,38.75333333
297,9.34322,79.19257,1.287799951,96.72193,0.066530789,0.089253116,0.049602857,37.72
298,8.520304,75.8163,1.288737386,97.09466,0.072010013,0.180169474,0.043951961,36.55666667
299,9.148955,79.88902,1.288031122,97.420779,0.069693938,0.168899588,0.059411009,43.53
300,9.255406,79.5322,1.287369001,97.527301,0.064226853,0.142704596,0.03430615,58.69
301,10.39416,79.39096,1.2876984,97.562611,0.076118234,0.143212077,0.021465176,65.16666667
