Sequence No.,V,D,air density,I,S_b,y (% relative to rated power)
148,10.63,171.8,1.155799079,0.063029163,0.571100424,73.66060606
149,10.64,169.9,1.156205729,0.066729323,0.56779114,70.63030303
150,10.31,168.8,1.157123651,0.069835112,0.585789661,72.40606061
151,10.33,167.4,1.157486909,0.062923524,0.598524097,73.63030303
152,10.51,166.2,1.157946289,0.058039962,0.614487064,72.66666667
153,10.03,164.5,1.158778599,0.076769691,0.648625399,68.16363636
154,9.53,165,1.159856696,0.062959077,0.622752261,65.36969697
155,9.97,166.8,1.159985092,0.046138415,0.597076002,67.38787879
156,10.49,166,1.160045198,0.036224976,0.588071394,72.88484848
157,10.36,161.8,1.161262002,0.042471042,0.527505108,72.61212121
158,10.66,160.1,1.162586331,0.062851782,0.53719235,77.65454545
159,11.97,162.3,1.161921955,0.043441938,0.582214762,89.45454545
160,12.32,163.7,1.161845541,0.045454545,0.58674142,93.32121212
161,12.34,164.9,1.16157587,0.046191248,0.585653299,91.25454545
162,12.02,164.7,1.161680517,0.054076539,0.574655279,89.07878788
163,11.63,164.2,1.162063023,0.065348237,0.571911473,86.36969697
164,11.8,164.4,1.162240196,0.070338983,0.579573617,87.87272727
165,12.33,164.9,1.161821335,0.065693431,0.546676279,94.33939394
166,12.64,166.4,1.161185601,0.0625,0.5071051,96.98181818
167,12.58,167.6,1.160888182,0.074721781,0.507603619,97.62424242
168,11.71,169.6,1.161149472,0.081981213,0.466912699,92.33939394
169,10.64,175.4,1.161037085,0.080827068,0.470225887,79.78181818
170,11.54,177.4,1.160419174,0.095320624,0.404208333,91.47272727
171,12.67,176.7,1.159853878,0.059194949,0.396229667,100.369697
172,11.84,179.7,1.159858413,0.074324324,0.397486615,94.69090909
173,11.48,181.8,1.159498768,0.076655052,0.40420431,88.22424242
174,11.95,178.7,1.159002881,0.084518828,0.353896216,93.80606061
175,11.97,177.9,1.158208111,0.096073517,0.265802393,92.67878788
176,11.69,179.9,1.158009218,0.077844311,0.32914301,91.85454545
177,11.18,180.2,1.156853814,0.104651163,0.245538935,90.75757576
178,11.63,176.8,1.155301954,0.092863285,0.227037943,92.93333333
179,11.08,178.8,1.154668222,0.106498195,0.210102639,86.66060606
180,11.52,180.4,1.153538536,0.098090278,0.201702012,95.21212121
181,11.89,179.8,1.152801638,0.099243061,0.263492156,96.68484848
182,12.55,181.8,1.151543985,0.093227092,0.254775406,96.7030303
183,13.65,186.6,1.148954754,0.106959707,0.224107682,99.72727273
184,14.21,187.7,1.147944595,0.095707248,0.223460477,100.2727273
185,14.96,189.7,1.146634704,0.089572193,0.195433016,101.2727273
186,16.14,190.3,1.145378518,0.080545229,0.227311894,101.3878788
187,15.62,196.3,1.143199118,0.108834827,0.22268264,101.2181818
188,18.6,198,1.141839825,0.07688172,0.224761013,101.2787879
189,18.18,196.8,1.142230133,0.071507151,0.276794673,101.4424242
190,16.75,196.7,1.141647739,0.100298507,0.227409284,101.3757576
191,17.6,194.1,1.141417451,0.093181818,0.265096606,101.369697
192,17.68,192.7,1.140681854,0.097850679,0.225948175,101.3272727
193,17.44,191,1.14077446,0.109518349,0.237712403,101.4484848
194,17.14,190.2,1.139676088,0.093932322,0.255152985,100.8484848
195,16.05,186.1,1.13900141,0.101557632,0.251784441,101.4060606
196,16.36,187.4,1.138217104,0.091075795,0.278830917,101.3212121
197,16.64,188.7,1.137511676,0.087139423,0.230473131,101.4363636
198,16.51,185.8,1.136903173,0.08782556,0.241366921,101.3636364
199,16.43,186.3,1.136299176,0.076688984,0.205226007,101.3939394
200,15.6,187.8,1.135379783,0.113461538,0.22928879,101.3515152
201,15.39,187.5,1.134131604,0.131903834,0.260000107,101.4060606
202,15.55,185.4,1.133209757,0.120257235,0.249159371,101.2484848
203,15.88,187.4,1.132024767,0.117758186,0.253072298,101.3575758
204,17.12,187.8,1.13130822,0.09521028,0.195160285,101.3333333
205,17.54,186.1,1.131810188,0.08722919,0.209680553,101.369697
206,17.6,189.3,1.130290321,0.107386364,0.287966616,101.3393939
207,18.74,189.8,1.130207869,0.081109925,0.246709138,101.3757576
208,17.99,187.8,1.129350179,0.141745414,0.245170158,101.2909091
209,18.44,189,1.129806436,0.092190889,0.193710356,101.430303
210,17.67,186.3,1.131310644,0.102999434,0.266814666,101.3393939
211,19.17,187.8,1.131730501,0.077725613,0.26162322,101.4181818
212,18.05,186.7,1.133396597,0.082548476,0.260854229,101.3636364
213,18.31,187.2,1.133730019,0.111414528,0.199125042,101.2969697
214,18.27,188.8,1.134078028,0.104542967,0.224997528,101.4242424
215,19.88,192.4,1.133402729,0.089034205,0.24298653,101.2363636
216,20.05,192.6,1.133107954,0.103241895,0.269391707,100.2121212
217,19.76,192.2,1.133476404,0.076417004,0.253348383,101.4363636
218,18.34,190.2,1.13403966,0.10523446,0.230802585,101.3030303
219,19.03,193.6,1.133986743,0.109301104,0.283469878,101.1333333
220,18.57,195.6,1.132772165,0.117932149,0.259829736,101.3575758
221,19.56,191.4,1.133314894,0.084867076,0.28689151,101.1939394
222,19.37,191.5,1.134740811,0.103768715,0.231864941,101.3151515
223,18.37,191.4,1.135571186,0.10397387,0.2916002,101.3515152
224,18.95,190.6,1.135391492,0.093931398,0.267491731,101.2969697
225,18.63,189.9,1.134150324,0.096618357,0.275077107,101.3151515
226,20.62,189.9,1.133696077,0.09214355,0.261488571,100.9090909
227,18.42,189.5,1.133810592,0.107491857,0.285263222,101.0969697
228,19.02,190.3,1.133297435,0.097791798,0.280976634,101.2969697
229,17.27,187,1.133559608,0.104806022,0.360916276,101.4
230,16.92,184.1,1.133279534,0.082742317,0.321498275,101.4
231,16.69,186.5,1.132716385,0.106650689,0.323189785,101.3878788
232,15.86,185.9,1.132931283,0.136191677,0.293005514,101.3454545
233,19.46,185,1.131962546,0.083247688,0.345069068,101.2242424
234,17.67,183.8,1.131635851,0.126202603,0.309752151,101.3636364
235,17.27,184.6,1.131880147,0.090909091,0.310057608,101.2424242
236,16.11,178.8,1.132256994,0.114835506,0.29443833,101.4969697
237,16.85,182.5,1.133140944,0.099703264,0.279158902,101.3272727
238,17.63,183.2,1.133784221,0.102098695,0.326502259,101.3757576
239,17.07,183.4,1.134690916,0.106033978,0.321466278,101.3939394
240,15.1,184.5,1.135585598,0.091390728,0.346330294,101.3575758
241,15.75,183.9,1.135541449,0.086984127,0.358918922,101.3212121
242,15.61,181,1.135693244,0.077514414,0.325864732,101.4181818
243,15.67,183.8,1.136335087,0.097000638,0.387751537,101.3939394
244,14.94,185.5,1.137093018,0.089022758,0.428293631,101.369697
245,16.04,189,1.137293897,0.069201995,0.382930994,101.4
246,15.3,188,1.13780905,0.082352941,0.341436479,101.369697
247,14.08,185.8,1.137986333,0.086647727,0.417000192,101.2727273
248,13.43,187.5,1.138252666,0.113179449,0.373773639,100.1272727
249,13.44,187.2,1.138109229,0.102678571,0.359825626,99.93333333
250,12.77,185.5,1.138257344,0.09945184,0.451735187,96.6
251,12.06,180.8,1.138117142,0.106135987,0.31191737,88.51515152
252,12.44,175.2,1.137416605,0.077170418,0.314017411,97.03636364
253,12.49,178,1.138177054,0.084867894,0.370742232,94.36969697
254,12.91,182.8,1.138554497,0.116963594,0.400509192,94.52121212
255,12.99,185.5,1.139065568,0.103926097,0.476922865,99.66060606
256,13.41,184.5,1.138163615,0.104399702,0.42594741,99.21818182
257,12.74,186.1,1.138469437,0.089481947,0.402190259,98.86666667
258,13.18,188.1,1.138645887,0.084218513,0.415790338,98.82424242
259,12.58,185.4,1.139287051,0.081875994,0.481133831,96.43636364
260,11.66,186.4,1.139747054,0.072898799,0.480938263,92.52121212
261,11.63,183.2,1.139824451,0.053310404,0.437686303,87.48484848
262,10.9,185.6,1.140065311,0.088990826,0.50075358,81.27878788
263,10.14,187.8,1.141084654,0.072978304,0.504432741,71.53333333
264,10.43,191.8,1.143669015,0.099712368,0.594729591,74.3030303
265,11.14,201.8,1.143444145,0.096050269,0.587761801,82.03636364
266,10.61,212.1,1.143841857,0.051837889,0.556134624,75.75757576
267,10.96,217.6,1.144204385,0.084854015,0.515501612,79.54545455
268,10.41,213.4,1.143714241,0.09414025,0.473889236,73.38787879
269,10.55,233.3,1.144944042,0.109952607,0.418070305,75.2969697
270,8.59,250,1.14691826,0.220023283,0.319252704,44.83636364
271,7.08,268,1.151179099,0.22740113,0.07335669,32.35151515
272,5.45,271.8,1.154720667,0.253211009,-0.103516906,30.44848485
273,5.29,268,1.156109536,0.262759924,0.143074993,13.2
274,6.7,262.1,1.156128129,0.179104478,0.35904263,10.96363636
275,7.19,263.4,1.155323724,0.109874826,0.446765798,18.69090909
276,7.43,251.4,1.155446888,0.099596231,0.616205685,18.73333333
277,7.24,232.6,1.155394494,0.089779006,0.747995932,31.78181818
278,8.05,217.9,1.153436374,0.07826087,1.080149784,39.61212121
279,7.24,195.7,1.151565218,0.10359116,0.959701768,31.28484848
280,6.82,186.7,1.15221317,0.074780059,0.798780549,27.16363636
281,8.51,184.8,1.150192133,0.05052879,0.754179002,47.04848485
282,8.59,177.6,1.150670663,0.058207218,0.731407667,48.7030303
283,9.19,177.9,1.152366065,0.056583243,0.79329321,56.47272727
284,8.78,180.9,1.154118721,0.054669704,0.867984017,51.41818182
285,7.99,175.9,1.15567923,0.063829787,0.793448862,39.43636364
286,8.29,174.3,1.156384049,0.069963812,0.927588294,43.73939394
287,8.58,178.3,1.154907125,0.072261072,0.967647748,47.77575758
288,8.52,185.8,1.154045289,0.064553991,0.808705201,47.95757576
289,9.45,191.2,1.153153388,0.153439153,0.737531987,59.23030303
290,11.4,194.2,1.152731387,0.08245614,0.471430132,86.12121212
291,11.75,196,1.153042455,0.089361702,0.45816316,90.57575758
292,11.51,192.7,1.153728775,0.079930495,0.499999523,92.07878788
293,10.92,193.2,1.154269734,0.10989011,0.527923418,82.87878788
294,10.63,195,1.154742868,0.070555033,0.538908121,77.40606061
295,10.64,197.2,1.154866401,0.079887218,0.498786807,74.24242424
296,10.59,198.4,1.155653968,0.082152975,0.467516165,76.24848485
297,11.08,199.8,1.155888707,0.069494585,0.526945721,85.57575758
298,10.68,200,1.156581417,0.072097378,0.530765943,79.21212121
299,9.79,201.2,1.156477332,0.078651685,0.513306925,69.3030303
300,8.98,203.6,1.156668721,0.076837416,0.460073463,53.98787879
301,9.1,202.4,1.156920118,0.110989011,0.576434069,58.9030303
302,9.26,204.5,1.157175007,0.091792657,0.513112442,64.65454545
303,9.41,205.6,1.15733829,0.078639745,0.500970648,54.2969697
304,8.93,208.1,1.157765647,0.082866741,0.582522668,47.87272727
305,8.43,209.5,1.158240853,0.077105575,0.536874421,45.65454545
306,8.57,205.2,1.158444056,0.074679113,0.507347295,45.27272727
307,8.22,206.6,1.158611623,0.064476886,0.562864389,41.2
308,8.53,211,1.159027371,0.067995311,0.63120971,44.93939394
309,7.16,212.5,1.159579655,0.069832402,0.659786798,27.08484848
310,6.98,215.9,1.160240129,0.064469914,0.714530692,26.80606061
311,6.75,214.4,1.16074481,0.051851852,0.622615152,22.76969697
312,6.36,213.4,1.160724749,0.061320755,0.371700646,20.63636364
313,7.14,209.6,1.160921204,0.071428571,0.342404124,29.29090909
314,8.38,209.2,1.161462428,0.052505967,0.444558035,44.60606061
315,8.85,210.7,1.161951895,0.040677966,0.540015867,50.22424242
316,8.85,205.8,1.162879361,0.058757062,0.476908496,47.78181818
317,8.33,204.3,1.162939386,0.086434574,0.51372565,42.59393939
318,7.67,209.5,1.162758644,0.075619296,0.465451449,33.06666667
319,7.19,209.7,1.161542551,0.077885953,0.52363264,26.16969697
320,6.35,209.3,1.159848829,0.135433071,0.397295823,20.22424242
321,6.62,210.2,1.158307197,0.129909366,0.324580718,23.87272727
322,6.68,213.7,1.157338856,0.119760479,0.234769,24.09090909
323,6.23,210.9,1.156030266,0.123595506,0.288976959,17.16969697
324,6.63,200.6,1.154642201,0.111613876,0.22177946,20.81212121
325,6.99,200,1.15471528,0.110157368,0.269980451,24.74545455
326,7.62,203.2,1.155343817,0.112860892,0.239867609,38.11515152
327,7.64,212.4,1.155494859,0.115183246,0.252194311,35.1030303
328,7.36,214,1.154678361,0.111413043,0.262377842,32.88484848
329,7.41,215.3,1.154577324,0.117408907,0.240367267,31.41818182
330,7.82,209.3,1.153201783,0.097186701,0.297415648,40.92121212
331,7.33,205.9,1.152973138,0.117326057,0.233020065,32.46666667
332,6.81,217.5,1.153416503,0.099853157,0.219220486,25.66060606
333,6.66,217,1.153127344,0.132132132,0.224415816,24.13333333
334,6.24,210.9,1.152330951,0.145833333,0.20885993,20.04242424
335,6.52,209.2,1.151589012,0.119631902,0.199475111,21.72121212
336,5.15,211.5,1.150805937,0.2,0.133313808,10.16969697
337,4.92,216.1,1.148107848,0.18699187,0.087479432,6.981818182
338,5,219.2,1.1470397,0.156,0.151663014,6.490909091
339,4.71,216.7,1.14576761,0.129511677,0.071890743,3.527272727
340,5.8,246.5,1.146790099,0.112068966,0.070027062,12.15151515
341,5.55,250.9,1.146125663,0.156756757,0.073233998,7.703030303
342,5.52,238.6,1.146523808,0.121376812,0.162754416,7.127272727
343,4.79,243.5,1.146227392,0.129436326,0.080265717,3.745454545
344,5.23,222.3,1.146198334,0.133843212,0.069014641,10.45454545
345,5.62,210.2,1.146870175,0.128113879,0.159751723,10.90909091
346,5.42,222.6,1.147403167,0.097785978,0.109193973,9.248484848
347,5.03,228.9,1.147436023,0.180914513,0.026655081,9.193939394
348,6.33,233.7,1.148027162,0.075829384,0.152497228,16.96363636
349,5.51,222.7,1.147311092,0.143375681,0.120095737,10.92121212
350,4.97,230.5,1.146218229,0.193158954,0.068071621,5.054545455
351,5.07,244.8,1.145987745,0.193293886,0.053205659,5.793939394
352,3.97,265.4,1.144167115,0.259445844,-0.033319076,0.903030303
353,4.4,263.4,1.145707863,0.295454545,0.051065009,2.242424242
354,3.61,249,1.144530442,0.315789474,0.075090984,0.254545455
355,4.14,276,1.143898557,0.256038647,-0.115007006,10.09090909
356,5.49,266.6,1.147067189,0.196721311,-0.102779867,18.08484848
357,5.15,276.7,1.148120749,0.273786408,-0.447695402,22.63636364
358,3.76,287.4,1.146836063,0.239361702,-0.235211136,12.12121212
359,4.23,289.2,1.145066696,0.274231678,-0.349145344,13.20606061
360,4.26,282.7,1.145291581,0.276995305,-0.204108634,15.66666667
361,4.19,282.3,1.146392139,0.281622912,-0.221803447,19.28484848
362,4.09,288.8,1.147004447,0.24205379,-0.441782535,29.21818182
363,6.75,293.3,1.14971224,0.241481481,-0.231066329,68.62424242
364,5.19,291.8,1.151378126,0.161849711,-0.322135605,48.79393939
365,6.58,298.1,1.152002926,0.214285714,-0.206175036,34.2
366,6.81,337.2,1.151951796,0.12041116,-0.006513876,20.86060606
367,6.41,327.2,1.151939068,0.102964119,0.077574648,16.98787879
368,5.28,326.7,1.151081072,0.115530303,0.012656616,7.848484848
369,5.74,329.5,1.149799341,0.155052265,0.007752992,11.44242424
370,5.96,324.6,1.149033105,0.13590604,0.091296278,13.36363636
371,5.41,319.4,1.148795762,0.153419593,-0.032605797,11.48484848
372,4.28,315.1,1.147085417,0.207943925,-0.051300896,0.678787879
373,4.65,314.5,1.146269847,0.215053763,-0.009533191,3.024242424
374,4.18,312,1.146427866,0.21291866,0.037512618,0.557575758
375,3.74,144.8,1.147113807,0.090909091,0.072437834,-0.363636364
376,4.78,137.1,1.147400135,0.115062762,0.134080443,4.945454545
377,5.12,140.2,1.148132752,0.091796875,0.271950749,4.412121212
378,4.35,137.5,1.148483163,0.089655172,0.276995115,-0.309090909
379,3.72,64.62,1.157686987,0.255376344,-0.138872096,8.16969697
380,4.47,72.97,1.160612524,0.232662192,-0.365707658,16.46666667
381,4.51,83.2,1.162040505,0.301552106,0.195512107,14.58787879
382,3.86,70.66,1.164527779,0.235751295,0.179712258,4.83030303
383,3.66,63.94,1.166565547,0.265027322,-0.684064989,11.98787879
384,4.64,66.31,1.166181033,0.224137931,-0.377684024,15.20606061
385,3.51,58.72,1.165921363,0.242165242,-0.699867493,15.98787879
386,3.57,55.11,1.168889729,0.210084034,-0.184960845,17.23636364
387,3.83,52.55,1.170658464,0.224543081,-0.236348557,15.15757576
388,4.15,37.51,1.171634364,0.173493976,0.384731703,5.806060606
389,4.51,343.5,1.173261596,0.168514412,0.339942927,3.739393939
390,5.7,6.06,1.173087246,0.098245614,0.242706636,7.206060606
391,6.35,25.35,1.17309346,0.088188976,0.295105306,16.48484848
392,6.2,21.14,1.172763381,0.088709677,0.331682156,14.32727273
393,6.17,26.97,1.17230927,0.066450567,0.333422187,14.75757576
394,6.61,25.82,1.17230927,0.068078669,0.294204948,19.52121212
395,7.4,22.58,1.1729331,0.059459459,0.30175562,27.70909091
396,7.57,23.42,1.172860004,0.05680317,0.199416033,28.92121212
397,7.08,29.3,1.172877071,0.086158192,0.320032957,23.32121212
398,7.47,24.15,1.172918105,0.073627845,0.315802249,27.12121212
399,6.54,27.48,1.173711067,0.082568807,0.376630226,18.06060606
400,8.71,28.35,1.172668154,0.113662457,0.276656442,56.75757576
401,6.39,21.82,1.173454375,0.095461659,0.353439151,19.20606061
402,6.04,20.5,1.174226826,0.147350993,0.311363002,11.85454545
403,7.16,14.65,1.174289608,0.115921788,0.291292112,22.23030303
404,8.06,7.73,1.174937306,0.076923077,0.313201008,35.63636364
405,8.74,356,1.175678586,0.130434783,0.264166128,58.89090909
406,11.18,336.6,1.177097378,0.112701252,0.252205963,86.05454545
407,11.14,337.1,1.179861275,0.090664273,0.230930451,88.06060606
408,11.12,334.7,1.180733412,0.075539568,0.235806218,89.66666667
409,9.87,337.6,1.18029786,0.09118541,0.232280256,75.33939394
410,10.54,347.2,1.180021288,0.114800759,0.273244426,72.8969697
411,10.73,353.3,1.180097266,0.106244175,0.237943602,89.73939394
412,9.77,0.96,1.180164573,0.097236438,0.204669079,75.62424242
413,9.86,4.07,1.180289982,0.072008114,0.26274989,59.88484848
